,id,rated,created_at,last_move_at,turns,white_id,white_rating,black_id,black_rating,moves
10,kY9tnUF3,True,1456460000000.0,1456460000000.0,29,tonyhuang19,1379,descerebrado9,1421,d4 d5 c4 e6 Nc3 g6 Bf4 Bg7 e3 f6 Nf3 f5 Ne5 Qe7 Bd3 Bd7 O-O Nc6 Nxc6 Bxc6 Nb5 Bxb5 cxb5 O-O-O Qa4 Qd7 Qxa7 Ne7 Qa8#
11,IFXc12eJ,True,1484494204305.0,1484494854426.0,56,nakuradesu,1374,rpm007,1272,d4 d5 e3 Nc6 Bb5 Nf6 Nc3 Bf5 b3 e6 a4 Bb4 Bd2 O-O Bxc6 bxc6 Na2 c5 Nxb4 cxb4 Bxb4 Rb8 Bxf8 Qxf8 Nf3 Ne4 O-O Qb4 a5 h6 Ra4 Qc3 a6 Nf6 h3 Bxc2 Qe1 Qxb3 Qa5 Bd3 Nd2 Qc2 Ra2 Rb2 Rxb2 Qxb2 Qxc7 Bxf1 Qc8+ Kh7 Nxf1 Ne4 Nh2 Qxf2+ Kh1 Ng3#
12,3gQoIkwB,False,1462450000000.0,1462460000000.0,56,maximillian_08,2076,rex123,1992,Nf3 d5 c4 d4 e3 dxe3 fxe3 b6 d4 Bb7 Nc3 e6 Bd3 Bb4 Qa4+ Nc6 O-O Bxc3 bxc3 Ne7 Ne5 O-O Ba3 Nxe5 Bxh7+ Kxh7 dxe5 Rh8 Qb4 Nc6 Qb1+ g6 Rxf7+ Kh6 Qe4 Qg5 h4 Qg3 Rxc7 Nd8 Rxb7 Nxb7 Qxb7 Qxe3+ Kh1 g5 Bc1 Qe1+ Kh2 Qxh4+ Kg1 Qe1+ Kh2 Kg6+ Qh7+ Rxh7#
13,vwkSIpZ0,True,1474470000000.0,1474470000000.0,75,kasparovd0311,1473,chees29,1221,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 O-O Bb3 d5 exd5 Nxd5 Nxe5 Nxe5 Rxe5 Bf6 Rxd5 Be6 Rxd8 Rfxd8 Bxe6 fxe6 d3 e5 c3 e4 h3 exd3 Qe1 Re8 Qd2 Rad8 Na3 Re7 Nc4 Rde8 Qxd3 Re1+ Kh2 b5 Na3 Be5+ g3 Bxg3+ Kxg3 Rf8 Qd5+ Kh8 Kg2 Re2 Be3 Rxb2 Rf1 h6 Qd4 Rg8 Bxh6 Rxa2 Nb1 Re2 Qd3 g6 Qxe2 Kh7 Be3 a5 Qg4 a4 Bd4 g5 Qh5#
14,MKlLaYyA,True,1490470901481.0,1490471817218.0,84,jeanmariebrouette,1565,sheik_yerbouti,1567,e4 e5 Nf3 Nc6 Bc4 h6 d4 d6 dxe5 Bg4 h3 Bxf3 Qxf3 Nxe5 Qb3 Nxc4 Qxc4 c6 Qb3 Nf6 Qxb7 Qc8 Qxc8+ Rxc8 Nc3 Be7 O-O O-O Be3 a5 Bb6 a4 Nxa4 Nxe4 Rfe1 d5 c4 Rfe8 cxd5 cxd5 Rad1 Rc4 Nc3 Nxc3 bxc3 Rxc3 Ba5 Rc5 Bb4 Rc7 Rxe7 Rcxe7 Bxe7 Rxe7 Rxd5 Ra7 Rd2 f5 Rd5 g6 Rd6 Kf7 Rd2 g5 g4 f4 f3 Ra6 Rh2 Ke6 Kf1 Kd5 h4 Kd4 hxg5 hxg5 Rh5 Ke3 Rxg5 Kxf3 Rg7 Rxa2 g5 Ra1#
15,uRFTxnq6,True,1471120000000.0,1471120000000.0,63,pink-flower,1962,uktamsaparov,1924,e4 c5 f4 e6 Nf3 d5 exd5 Qxd5 Nc3 Qd8 g3 Nf6 Bg2 Nc6 d3 Be7 Be3 O-O O-O Ng4 Bd2 Nd4 Ne4 Nxf3+ Qxf3 f5 Nf2 e5 Nxg4 fxg4 Qe4 exf4 Bxf4 Bf6 c3 Re8 Qc4+ Be6 Qxc5 b6 Qd6 Qxd6 Bxd6 Rad8 Bf4 Rxd3 Rad1 Red8 Rxd3 Rxd3 Re1 Bxa2 Be4 Rd8 Bc2 Bd5 Rd1 Bf3 Bb3+ Kh8 Re1 Re8 Rxe8#
16,Qmt3ExG6,True,1423895118048.0,1423896394538.0,29,hassan1365416,1578,ionay,1277,e4 b6 d4 Bb7 Nc3 e6 Nf3 Bb4 Bd2 Bxc3 Bxc3 Bxe4 d5 Bxd5 Bxg7 Bxf3 Qxf3 Nc6 Bxh8 Nd4 Bxd4 c5 Be3 Nf6 Bg5 Qc7 Qxf6 Qd8 Qh8#
17,OsHNIycf,True,1497708002172.0,1497708412846.0,43,youredeadmeat,1445,bogomaz_bogdan,1445,e4 e5 Nf3 d6 Bc4 Nc6 c3 Nf6 d3 Be6 Bxe6 fxe6 O-O Qe7 Re1 O-O-O Bg5 d5 exd5 exd5 Nbd2 d4 cxd4 Nxd4 Nxd4 Rxd4 Nb3 Rb4 d4 h6 Bxf6 Qxf6 dxe5 Qf4 Qf3 Qc4 Rac1 Qa6 a3 Rc4 Rcd1 b5 Qa8#
18,gJtWMzf6,True,1503230000000.0,1503230000000.0,60,instriker,1653,tijocoarriba,1742,d4 d5 Bf4 Bf5 e3 e6 c4 Bb4+ Nc3 Bxc3+ bxc3 Nc6 Nf3 h6 Qa4 Ne7 Ne5 O-O h3 a6 Be2 Nxe5 Bxe5 dxc4 Bxc4 b5 Bxb5 axb5 Qxb5 Rb8 Qc4 Rb1+ Rxb1 Bxb1 O-O Be4 a4 Nd5 Ra1 Qa8 a5 Rb8 Qa4 Nxc3 Qd7 Ne2+ Kh2 Bxg2 Bxc7 Rb7 Qd6 Bd5 a6 Ra7 Bb8 Rb7 axb7 Qxa1 h4 Qh1#
19,3KE2vYO8,True,1494990000000.0,1494990000000.0,17,mellowg7,1442,jesteroz,1270,Nh3 e5 e4 Nc6 Bc4 Nf6 Ng5 d5 Nxf7 Kxf7 exd5 Nxd5 Qf3+ Kg8 Bxd5+ Be6 Bxe6#
20,qN04st5F,True,1498731971183.0,1498734315651.0,130,timeisrelativ,1674,chessiyzi,1926,e4 e6 d4 d5 Nc3 Bb4 e5 c5 dxc5 Bxc3+ bxc3 Qa5 Bb2 Qxc5 Nf3 Nc6 c4 Nh6 Be2 Ng4 O-O O-O cxd5 exd5 h3 Nh6 Qd3 Bf5 Qb3 b6 Ba3 Na5 Qb2 Qxc2 Qxc2 Bxc2 Bxf8 Rxf8 Rac1 Be4 Nd2 f6 Nxe4 dxe4 f4 Nf5 Rfe1 fxe5 fxe5 Re8 Bc4+ Nxc4 Rxc4 Rxe5 Rcxe4 Rd5 Re5 Rxe5 Rxe5 Nd6 Re7 a5 Re6 Nc4 Rc6 b5 Rc5 Na3 Kf2 Kf7 Ke2 Ke6 Kd2 Kd6 Rh5 h6 Kc3 Kc6 Rh4 Nc4 Re4 Kd5 Rd4+ Kc5 Rg4 g5 h4 Ne5 Rd4 b4+ Kb3 Kxd4 Ka4 gxh4 Kxa5 Kc4 Ka4 Nd3 a3 bxa3 Kxa3 Nf2 Kb2 h3 gxh3 Nxh3 Kc2 Kd4 Kd2 Ke4 Ke2 Kf4 Kf1 Kg3 Ke1 h5 Kf1 h4 Ke1 Nf2 Kf1 h3 Kg1 h2+ Kf1 h1=Q+ Ke2 Qd1+ Ke3 Qd3#
21,g31Cmof6,True,1494535347681.0,1494536352541.0,66,marigw,924,armansoroush,982,d4 e5 c3 d6 a4 Qh4 g3 Qe4 Nd2 Qxh1 Ngf3 Bd7 b4 Nf6 b5 Ng4 h3 Nf6 g4 e4 Ng5 Nd5 f3 Nxc3 Qc2 Nxe2 Kxe2 Be7 Ndxe4 d5 Ng3 Qh2+ Kd1 Qxg3 Qxc7 Qxc7 Bd3 Bb4 Rb1 Qc3 Bd2 Qxd3 Rxb4 Qf1+ Kc2 O-O f4 Re8 f5 Re2 Rb3 Qf2 Rd3 Nc6 bxc6 Bxc6 a5 Ba4+ Kc3 Rc8+ Kb4 Rc4+ Ka3 Qf1 Nf3 Qa1#
22,bnBOp77a,False,1504460582670.0,1504461277895.0,106,haithmnedhal,1515,danko_25,1885,e4 Nf6 Nc3 d5 e5 Ne4 Nge2 Bf5 d4 e6 f3 Nxc3 Nxc3 c5 Bb5+ Nc6 Bxc6+ bxc6 O-O Rb8 Na4 cxd4 Qxd4 Qa5 Bd2 Qb5 b3 Bxc2 Qxa7 Qb7 Qxb7 Rxb7 Rac1 Bd3 Rxc6 Bxf1 Rc8+ Kd7 Rxf8 Rxf8 Nc5+ Kc6 Nxb7 Kxb7 Kxf1 Ra8 a4 Kc6 Ke2 Kc5 Kd3 f6 f4 fxe5 fxe5 Rf8 b4+ Kb6 a5+ Kb5 Kc3 Rf2 a6 Kxa6 Be3 Rxg2 Kd4 Kb5 h4 Rg4+ Kc3 Rxh4 Bg5 Rc4+ Kb3 Rxb4+ Ka3 Re4 Be7 Rxe5 Bf8 Re3+ Kb2 Rg3 Bd6 Rg2+ Kc3 h5 Kd4 h4 Be7 h3 Ke5 h2 Kxe6 h1=Q Kxd5 Re2+ Kd6 Qd1+ Kc7 Rc2+ Kb8 Qd7 Bf8 Rc8#
23,dKq8gYTk,True,1496570000000.0,1496570000000.0,55,sansavoirvecu,1791,bekzodjon,1716,d4 d5 Nc3 c6 Bf4 Nd7 e4 dxe4 Nxe4 Nb6 Nf3 Bf5 Neg5 Nf6 Ne5 Bg6 Bd3 Qxd4 Bxg6 Qxd1+ Rxd1 fxg6 Ne6 Nbd5 c4 g5 Bg3 Rc8 cxd5 Nxd5 O-O h5 Ng6 Rh6 Nexf8 Kf7 h4 Rxg6 Nxg6 Kxg6 Rfe1 g4 Re6+ Kf5 Rde1 Nf6 R1e5+ Kg6 Rxe7 b5 Rg5+ Kh6 Rexg7 Ne4 R5g6#
24,VdPZD8QR,True,1495770000000.0,1495770000000.0,72,grebonachessmaster,1968,skuppam3,1882,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4 cxd4 Bb4+ Nc3 Nxe4 O-O Bxc3 bxc3 O-O Qc2 Nf6 Bg5 d5 Bd3 h6 Bh4 Bg4 Ne5 Bh5 g4 g5 gxh5 gxh4 Nxc6 bxc6 Kh1 Qd6 Rg1+ Kh8 Bf5 Rg8 Qd2 Nxh5 Qe2 Nf4 Qf3 Rg5 Rxg5 hxg5 Rg1 Qf6 Qg4 Rg8 Bc2 c5 Qf5 Qxf5 Bxf5 c4 Re1 Rb8 Re7 Rb2 Rxc7 g4 Rxf7 Rxf2 Kg1 Nh3+ Kh1 Rf1+ Kg2 Rg1#
25,8Bq7xzPR,True,1465190000000.0,1465190000000.0,103,wait-wait-go,1264,anakgreget,1763,d4 d5 c4 dxc4 Nc3 Nf6 Bf4 b5 Nxb5 Qd5 Nxc7+ Kd8 Nxd5 Nxd5 Bxb8 Rxb8 Nf3 Rxb2 e3 Nb6 Ne5 Ke8 Nxc4 Nxc4 Bxc4 Bf5 O-O e6 Qa4+ Kd8 Qxa7 Be4 Qxf7 g6 Qxe6 Bf5 Qd5+ Ke7 Qe5+ Kd8 Qxh8 Ke7 Qxh7+ Kf6 Rfd1 Bg7 Bd3 Bxd3 Rxd3 Kf7 Rdd1 Rb7 Qh3 Re7 Qc8 Re8 Qb7+ Re7 Qb4 Bf8 Rab1 Rxe3 fxe3 Bxb4 Rxb4 Ke6 a4 Kd5 Rc1 Ke4 a5 Kxe3 a6 Kd2 a7 Kxc1 a8=Q Kc2 Qc6+ Kd2 Qxg6 Ke3 d5 Kd2 Qg5+ Kd3 d6 Kc3 Qf4 Kd3 d7 Kc3 d8=Q Kc2 Qc8+ Kd3 Qfc4+ Ke3 Rb3+ Kd2 Qd7+ Ke1 Qe4#
26,LtHu5Lrp,True,1502280791208.0,1502281691477.0,43,mrunank,1585,yash26,1500,c4 e6 d3 Qf6 Nf3 Nc6 Nc3 Bb4 Bd2 Ne5 Nxe5 Qxe5 g3 Bxc3 Bxc3 Qc5 Bxg7 Nh6 Bxh8 e5 Bg2 Qb4+ Qd2 Qf8 Bxe5 Ng4 Bxc7 Qc5 Qf4 Nf6 O-O Nh5 Qe4+ Kf8 Bf4 Nf6 Qe5 Qb6 a3 a5 Bg5 Ng4 Qh8#
27,70m4wihn,True,1379413138019.0,1379413710681.0,56,efiop,1580,kamilahhuds,1402,e4 e5 Qf3 Nf6 c3 Nc6 Bc4 Be7 Ne2 O-O d4 d6 dxe5 dxe5 O-O Bg4 Qe3 Na5 b3 Nxc4 bxc4 b6 h3 Bxe2 Qxe2 c5 Na3 a6 Rb1 Rb8 f4 Nd7 f5 f6 Nc2 Rf7 a4 a5 Na3 Nf8 Nb5 g6 Qg4 Qd3 Bb2 Rg7 fxg6 Rxg6 Qf5 Qe2 Rfe1 Rxg2+ Kh1 Rh2+ Kg1 Qg2#
28,i0eHQVvM,True,1504130000000.0,1504130000000.0,41,ezatfoda,1773,mfofas,1659,e4 c6 d4 d5 e5 c5 c3 Nc6 Nf3 Qb6 Be2 h6 O-O Bf5 dxc5 Qxc5 Be3 Qa5 Nd4 Nxd4 cxd4 Bxb1 Rxb1 Qxa2 Bb5+ Kd8 Qe2 a6 Ra1 Qb3 Rfc1 e6 Ra3 Qb4 Ra4 Qe7 Qc2 axb5 Rxa8+ Kd7 Qc8#
29,Rjf0u2O5,True,1490029757391.0,1490030200912.0,111,zavator,1694,kingslayer92,1763,d4 f5 e3 Nf6 Nf3 e6 Bd3 Be7 O-O b6 Re1 Bb7 Nbd2 Ne4 Nc4 Ng5 Nxg5 Bxg5 Ne5 g6 e4 d6 Bxg5 Qxg5 Nf3 Qg4 h3 Qh5 exf5 Bxf3 Qxf3 Qxf3 gxf3 gxf5 Rxe6+ Kd7 Bxf5 Nc6 Rh6+ Ke7 Rxh7+ Rxh7 Bxh7 Nxd4 Re1+ Kf6 Be4 Rg8+ Kh2 Rg7 c3 Nf5 Bxf5 Kxf5 Re4 d5 Rg4 Rf7 Kg3 c5 Rf4+ Kg6 Rxf7 Kxf7 f4 Kg6 h4 d4 Kf3 dxc3 bxc3 b5 Ke3 a5 Kd3 Kf5 Ke3 c4 Kd4 Kxf4 Kc5 b4 Kxc4 bxc3 Kxc3 Kg4 Kd3 Kxh4 Ke3 Kg5 f4+ Kf5 a4 Ke6 Ke4 Kd6 f5 Kc5 f6 Kb4 f7 Kxa4 f8=Q Kb3 Qb8+ Ka3 Kd4 a4 Kc3 Ka2 Qb2#
30,ItHcx2zg,True,1504256806075.0,1504257498866.0,118,javi_r,1713,lynnpv,1887,e4 c5 Nh3 Nc6 Bc4 Nf6 Ng5 e6 Qf3 Ne5 Qe2 Nxc4 Qxc4 d5 exd5 Nxd5 Qh4 Be7 d3 h6 Qg3 Bxg5 Bxg5 Qxg5 Qxg5 hxg5 Nc3 Nf4 g3 Nd5 Nxd5 exd5 O-O-O O-O Kb1 Re8 f3 Bf5 h4 gxh4 Rxh4 f6 g4 Bd7 Rh5 Kf7 Rxd5 Bc6 Rxc5 Bxf3 Rc7+ Kg6 Rf1 Rab8 c4 Bxg4 Rg1 f5 b4 Re2 d4 Kf6 d5 Bf3 Rcxg7 Be4+ Kc1 Rc2+ Kd1 Rxc4 R1g6+ Ke5 d6 Rd4+ Ke1 Rxd6 Re7+ Kd5 Rxd6+ Kxd6 Rg7 Rc8 Rg6+ Ke5 a4 Rc1+ Kd2 Rc2+ Ke3 Rb2 b5 Ra2 b6 axb6 Rxb6 Rxa4 Rb5+ Kd6 Rb2 Ra3+ Kf4 Kc5 Rxb7 Bxb7 Kxf5 Rf3+ Kg6 Kd6 Kh5 Rg3 Kh4 Rg7 Kh5 Ke6 Kh4 Kf5 Kh5 Rh7#
31,BQaQgpCA,True,1486310000000.0,1486310000000.0,106,hus1972,1098,siggicv8,1249,e3 e5 Be2 Qf6 Nf3 Qg6 d3 Qxg2 Rf1 f5 Nxe5 g5 Bf3 Qxh2 Ke2 g4 Be4 fxe4 dxe4 Qxe5 Qd4 Qxd4 exd4 Nf6 Nc3 Nc6 Be3 h5 Rh1 h4 Bf4 Nxd4+ Kd3 Ne6 Be5 Bg7 f4 gxf3 Raf1 h3 Nb5 b6 Nxc7+ Nxc7 Bxc7 Ba6+ Kc3 Bxf1 Rxf1 h2 Bxh2 Nxe4+ Kd3 Rxh2 c4 Ng3 Rxf3 Nf5 c5 bxc5 Rxf5 Rxb2 a4 O-O-O Rxc5+ Kb7 a5 a6 Ke3 Rc8 Rd5 Rb5 Rg5 Rxg5 Kf3 Rcc5 Ke3 Rxa5 Kd3 Rad5+ Ke3 a5 Kf2 a4 Ke1 a3 Kf2 a2 Kf3 a1=Q Ke3 Qe1+ Kf4 Qe5+ Kf3 Rf5+ Kg4 Rg5+ Kf3 Rd3+ Kf2 Rf5+ Kg2 Qg3+ Kh1 Rf1#
32,qNTu76Mb,False,1499040000000.0,1499040000000.0,53,stare_spb,1500,canexd,1104,d3 e6 g3 h6 Nf3 Nc6 Bg2 Nb4 Bd2 Nd5 Nc3 Nxc3 Bxc3 f6 O-O d5 e4 Qe7 Re1 Qc5 exd5 Qxd5 Nh4 Qc5 Ng6 Rh7 Re2 Bd6 Qe1 e5 d4 Qb6 dxe5 fxe5 Bxe5 Ne7 Bxd6 cxd6 Rxe7+ Kd8 Re8+ Kc7 Qe7+ Kb8 Rd1 Qxb2 Bh3 a6 Rxc8+ Ka7 Qe3+ b6 Qe7#
33,1TWADI7m,False,1504463212203.0,1504463807912.0,68,kerilka,1728,mika2012,1776,d4 d5 Nc3 Nf6 Bf4 Bf5 Nf3 c6 e3 e6 Qd2 Bd6 Ne5 Nbd7 O-O-O Ng4 h3 Ngxe5 dxe5 Nxe5 g4 Bg6 Be2 Qe7 h4 h6 h5 Bh7 Bxe5 Bxe5 f4 Bc7 Bd3 Bxd3 cxd3 Ba5 Kb1 O-O-O Rc1 Kb8 a3 c5 Qh2 d4 exd4 Rxd4 Rhe1 Rxd3 f5+ Ka8 fxe6 fxe6 Red1 Rhd8 Rxd3 Rxd3 Qe5 Bxc3 bxc3 c4 Ka2 Rd2+ Kb1 Qxa3 Rc2 Rd1+ Rc1 Rxc1#
34,wYE5TUoj,True,1488400000000.0,1488400000000.0,50,madd_hatter,1517,jenny_1998,2061,e4 c5 Nf3 d6 Nc3 Nf6 d4 cxd4 Nxd4 a6 Bd3 e6 Nb3 Nc6 a3 Be7 Qe2 O-O f3 b5 Be3 Bb7 O-O-O Qc7 Kb1 Ne5 Bc1 Rfc8 Qd2 Nxd3 Qxd3 Nd7 Rhe1 Ne5 Qd2 Nc4 Qe2 Bf6 Rd3 Nxa3+ bxa3 Bxc3 Red1 d5 exd5 Bxd5 Qe3 Bf6 Rxd5 Qxc2#
35,U7I9Cba8,True,1423182530463.0,1423183699939.0,81,dogmang,1710,gerardsan15,1972,Nc3 d5 e4 d4 Nce2 e5 f4 Nf6 fxe5 Nxe4 c3 Bg4 Qa4+ Nc6 Nxd4 Bc5 Bb5 Bd7 Ngf3 O-O Bxc6 bxc6 d3 Nf6 exf6 Re8+ Kd1 Qxf6 Kc2 Qg6 Bd2 Rab8 g3 Bg4 Rhe1 Qf6 Qc4 Rxe1 Rxe1 Bxf3 Qxc5 Bd5 Qxa7 Qd8 Nf5 Kh8 Bh6 Be6 Bxg7+ Kg8 Bf6 Ra8 Nh6+ Kf8 Qc5+ Qd6 Qg5 Ke8 Nf5 Qf8 Bg7 Qc5 d4 Qxf5+ Qxf5 Kd7 Qxh7 Ra5 Qh8 Rxa2 Bf6 Bf5+ Kc1 Ra1+ Kd2 Rxe1 Qd8+ Ke6 d5+ cxd5 Qe7#
